index,blockTime,tickCumulative,secondsPerLiquidityCumulativeX128,initialized
403,1708734599,-22544164313266,250416418097372314118866665268,true
404,1708734647,-22544176388386,250416425423816359593551862122,true
405,1708734671,-22544182426738,250416429086625963349818350450,true
406,1708734683,-22544185446478,250416430918029541587245657413,true
407,1708734899,-22544239810438,250416463883293949860937182753,true
408,1708734923,-22544245850110,250416467546101106335791796679,true
409,1708735223,-22544321339410,250416513331221153289122900785,true
410,1708735271,-22544333416450,250416520656840360801655877441,true
411,1708735307,-22544342473186,250416526151673394907669775081,true
412,1708735415,-22544369640478,250416542636172497225711468003,true
413,1708735463,-22544381710942,250416549962616542700396664857,true
414,1708735499,-22544390762566,250416555457450576305364054434,true
415,1708735571,-22544408862286,250416566447139089285207699899,true
416,1708735655,-22544429979466,250416579268442354428358619608,true
417,1708735667,-22544432995906,250416581100057106591665893852,true
418,1708735727,-22544448075526,250416590259958015010996207965,true
419,1708735739,-22544451090958,250416592091938196694862270787,true
420,1708735823,-22544472195202,250416604916198304931235707631,true
421,1708735895,-22544490286498,250416615908421254848127224926,true
422,1708735907,-22544493300982,250416617740458413167609144475,true
423,1708735931,-22544499328174,250416621413924250963144507272,true
424,1708735943,-22544502341794,250416623250657169860912188670,true
425,1708736015,-22544520421570,250416634271054683247518277061,true
426,1708736135,-22544550559810,250416652638383872225195091047,true
427,1708736171,-22544559602902,250416658134495347183640849694,true
428,1708736183,-22544562617530,250416659966532505503122769243,true
429,1708736195,-22544565632698,250416661798569663822604688792,true
430,1708736207,-22544568647614,250416663630606822142086608341,true
431,1708736243,-22544577689842,250416669126718297100532366988,true
432,1708736255,-22544580704254,250416670958755455420014286537,true
433,1708736327,-22544598793030,250416681950978405336905803832,true
434,1708736483,-22544637982882,250416705767461463490170757971,true
435,1708736495,-22544640997006,250416707599498621809652677520,true
436,1708736627,-22544674144450,250416727803560729685097172905,true
437,1708736711,-22544695235506,250416740661059656533136033605,true
438,1708736747,-22544704276042,250416746171258413226439077800,true
439,1708736771,-22544710303906,250416749835332729865402916898,true
440,1708736807,-22544719345738,250416755331444204823848675545,true
441,1708736855,-22544731399738,250416762678375880414919401139,true
442,1708736903,-22544743455466,250416770006524513692847079335,true
443,1708736939,-22544752498738,250416775502635988651292837982,true
444,1708737023,-22544773601722,250416788326896096887666274826,true
445,1708737047,-22544779630162,250416791990970413526630113924,true
446,1708737143,-22544803741618,250416806647267680082485470317,true
447,1708737155,-22544806755934,250416808479304838401967389866,true
448,1708737167,-22544809770694,250416810311341996721449309415,true
449,1708737203,-22544818816054,250416815807453471679895068062,true
450,1708737215,-22544821832314,250416817639068223843202342306,true
451,1708737227,-22544824849186,250416819470679568378191472165,true
452,1708737311,-22544845970230,250416832291958980123115381178,true
453,1708737347,-22544855020126,250416837786803236613037203910,true
454,1708737551,-22544906297974,250416868924254023389260866062,true
455,1708737647,-22544930434102,250416883577144779669173904935,true
456,1708737671,-22544936465710,250416887241105143036906030580,true
457,1708737851,-22544981703130,250416914720807868294896972920,true
458,1708737863,-22544984719498,250416916552422620458204247164,true
459,1708737875,-22544987736142,250416918384037372621511521408,true
460,1708738151,-22545057123646,250416960511098296926261508168,true
461,1708738175,-22545063157486,250416964174320985996239767886,true
462,1708738187,-22545066174754,250416966005932330531228897745,true
463,1708738307,-22545096354394,250416984322042444217941889881,true
464,1708738319,-22545099372046,250416986153653455586613189094,true
465,1708738499,-22545144629266,250417013627823623611450136981,true
466,1708738547,-22545156696658,250417020954269001751406656417,true
467,1708738643,-22545180828178,250417035607187019057864850370,true
468,1708738775,-22545214013638,250417055754911808942745278820,true
469,1708738787,-22545217030822,250417057586523153477734408679,true
470,1708738907,-22545247207942,250417075902633267164447400815,true
471,1708738931,-22545253244062,250417079565855289901789999242,true
472,1708739027,-22545277388638,250417094218743380851160392951,true
473,1708739039,-22545280408570,250417096050146959088587699914,true
474,1708739051,-22545283428478,250417097881550537326015006877,true
475,1708739183,-22545316644958,250417118027003357985480692683,true
476,1708739231,-22545328724638,250417125352617670935189920536,true
477,1708739303,-22545346845742,250417136341039140359753762316,true
478,1708739315,-22545349865686,250417138172442718597181069279,true
479,1708739471,-22545389117002,250417161980705143012913243414,true
480,1708739519,-22545401191546,250417169307149188487598440268,true
481,1708739615,-22545425343802,250417183958387603512664393581,true
482,1708739903,-22545497810938,250417227912102848587862253522,true
483,1708739951,-22545509890906,250417235237717161537571481375,true
484,1708740047,-22545534047770,250417249888955576562637434688,true
485,1708740131,-22545555183094,250417262708789189709570143837,true
486,1708740251,-22545585379054,250417281022837208490902585479,true
487,1708740371,-22545615580294,250417299336872990865175655112,true
488,1708740407,-22545624638398,250417304831087396499575387604,true
489,1708740539,-22545657847618,250417324976540217159041073410,true
490,1708740959,-22545763480558,250417389082925615062536545887,true
491,1708740983,-22545769516126,250417392746147637799879144314,true
492,1708741031,-22545781584046,250417400072593015939835663750,true
493,1708741103,-22545799690390,250417411062259084151863459031,true
494,1708741127,-22545805725142,250417414725481773221841718749,true
495,1708741139,-22545808742158,250417416557093117756830848608,true
496,1708741223,-22545829857658,250417429378396382899981768317,true
497,1708741331,-22545857005402,250417445862929152369747236515,true
498,1708741415,-22545878113678,250417458686790424156809676274,true
499,1708741499,-22545899225650,250417471510651695943872116033,true
500,1708741511,-22545902242294,250417473342266448107179390277,true
501,1708741691,-22545947496274,250417500816436616132016338164,true
502,1708741799,-22545974651686,250417517300938716946918506896,true
503,1708741835,-22545983703526,250417522795772750551885896473,true
504,1708741931,-22546007842054,250417537448663506831798935346,true
505,1708742015,-22546028963434,250417550269942918576722844359,true
506,1708742315,-22546104397234,250417596060226531951451090837,true
507,1708742399,-22546125524326,250417608881503611532150185332,true
508,1708742771,-22546219095718,250417665661444963960960460954,true
509,1708742783,-22546222113778,250417667493055975329631760167,true
510,1708743131,-22546309635430,250417720609775305021099437362,true
