time,price,timeRange(seconds)
2024-02-23T19:55:11Z[UTC],10.92,528
2024-02-23T19:57:59Z[UTC],10.98,168
2024-02-23T20:01:23Z[UTC],10.97,204
2024-02-23T20:08:11Z[UTC],10.96,408
2024-02-23T20:11:23Z[UTC],10.95,192
2024-02-23T20:13:35Z[UTC],10.99,132
2024-02-23T20:23:23Z[UTC],11.04,588
2024-02-23T20:35:23Z[UTC],11.01,720
2024-02-23T20:36:47Z[UTC],11.05,84
2024-02-23T20:41:47Z[UTC],11.09,300
2024-02-23T20:42:23Z[UTC],11.08,36
2024-02-23T20:48:23Z[UTC],11.07,360
2024-02-23T20:48:47Z[UTC],11.10,24
2024-02-23T20:50:35Z[UTC],11.15,108
2024-02-23T20:50:47Z[UTC],11.19,12
2024-02-23T20:51:11Z[UTC],11.23,24
2024-02-23T20:51:59Z[UTC],11.22,48
2024-02-23T20:52:23Z[UTC],11.25,24
2024-02-23T20:54:11Z[UTC],11.31,108
2024-02-23T20:55:35Z[UTC],11.27,84
2024-02-23T20:57:47Z[UTC],11.23,132
2024-02-23T21:04:35Z[UTC],11.30,408
2024-02-23T21:13:11Z[UTC],11.26,516
2024-02-23T21:17:47Z[UTC],11.27,276
2024-02-23T21:21:47Z[UTC],11.23,240
2024-02-23T21:26:11Z[UTC],11.27,264
2024-02-23T21:29:23Z[UTC],11.31,192
2024-02-23T21:29:35Z[UTC],11.36,12
2024-02-23T21:33:47Z[UTC],11.41,252
2024-02-23T21:37:59Z[UTC],11.37,252
2024-02-23T21:49:23Z[UTC],11.34,684
2024-02-23T21:49:47Z[UTC],11.31,24
2024-02-23T21:51:47Z[UTC],11.26,120
2024-02-23T22:01:11Z[UTC],11.22,564
2024-02-23T22:03:23Z[UTC],11.25,132
2024-02-23T22:06:59Z[UTC],11.25,216
2024-02-23T22:08:11Z[UTC],11.25,72
2024-02-23T22:14:11Z[UTC],11.31,360
2024-02-23T22:32:11Z[UTC],11.26,1080
2024-02-23T22:32:59Z[UTC],11.22,48
2024-02-23T22:33:11Z[UTC],11.19,12
2024-02-23T22:33:47Z[UTC],11.09,36
2024-02-23T22:34:35Z[UTC],11.03,48
2024-02-23T22:35:47Z[UTC],11.06,72
